release_date,weighted_gamma,gamma,n_word,n_document
2008-10-02,0.0011045415636949068,0.0011045415636949068,415,1
2008-10-03,0.0014537000138432382,0.0013660953156797234,1668,4
2008-10-06,0.02272920637290417,0.02303048689938826,1367,2
2008-10-07,0.003346193261250651,0.003409495276641232,1360,2
2008-10-08,0.0015522192660781347,0.0015522192660781347,647,1
2008-10-09,0.008647704335763546,0.008126168010448768,1881,3
2008-10-10,0.0010868959171353434,0.0010868959171353434,693,1
2008-10-15,0.002359372135248518,0.0023127034209181477,2330,4
2008-10-16,0.005003833035550807,0.005003833035550807,561,1
2008-10-17,0.009402744105783867,0.007217769110141117,915,2
2008-10-21,0.040123918529615644,0.04010030592158163,1055,2
2008-10-23,0.016962063266683113,0.016962063266683113,404,1
2008-10-27,0.006700314506507702,0.0059955302396317665,1062,2
2008-10-29,0.004338064849814466,0.004490037276589469,6560,20
2008-10-30,0.02867204379163565,0.032443049121873416,3447,10
2008-10-31,0.017214950506680766,0.016535543048935914,2350,7
2008-11-02,0.003768344785787022,0.003768344785787022,484,1
2008-11-03,0.05787272082084947,0.04100369426586106,2013,5
2008-11-04,0.010417883918575883,0.013075229156572304,3220,8
2008-11-05,0.0018105758482718209,0.002586760963994743,2533,8
2008-11-06,0.0012602459967307794,0.0012602459967307794,453,1
2008-11-07,0.10702069547596468,0.10702069547596468,239,1
2008-11-09,0.019199936349779297,0.017116214590098343,1331,3
2008-11-10,0.007937339645133669,0.011305360537407393,3424,9
2008-11-11,0.0029301723546460803,0.0029311296089387425,2523,6
2008-11-12,0.001619785396378096,0.0016444715299704469,1498,5
2008-11-13,0.011460508063260605,0.008551489511113333,3023,8
2008-11-14,0.0037551555764038023,0.004820906975481064,2529,8
2008-11-16,0.0020394449024823645,0.0020394449024823645,613,1
2008-11-17,0.020141086281906823,0.0306956190186032,871,3
2008-11-18,0.052515868639140866,0.03967361505916788,3317,8
2008-11-19,0.013164862414277508,0.02221493493204206,3174,11
2008-11-20,0.015294935070961222,0.012090838758569061,4876,13
2008-11-21,0.001553702631619605,0.001855006471575773,2053,6
2008-11-22,0.007412120614181364,0.007412120614181364,557,1
2008-11-23,0.008323118053042726,0.006620078537275817,811,2
2008-11-24,0.013864883658990582,0.009212654139086337,5277,16
2008-11-25,0.00823533214037627,0.009448928297286238,6686,18
2008-11-26,0.018857702686903788,0.015074897270701203,2140,7
2008-11-27,0.002251773165274556,0.0028285694070478563,3503,8
2008-11-28,0.006489894672245782,0.00630282166923082,2915,8
2008-11-29,0.0188784084971179,0.04456108963067202,638,2
2008-11-30,0.0014793557726317254,0.0021104575312629096,1010,3
2008-12-01,0.0026510019843790375,0.002714995501890603,1526,5
2008-12-02,0.011701173099462564,0.013263351775043964,6801,17
2008-12-03,0.011870092698733752,0.011014433635998463,4104,12
2008-12-04,0.012008263470163946,0.013420625507065815,2824,11
2008-12-05,0.006550206494392559,0.006443141362780399,2765,7
2008-12-07,0.005283332593631042,0.005283332593631042,255,1
2008-12-08,0.03961713466441734,0.031461073707609,3175,7
2008-12-09,0.007017273730259168,0.006084568436842743,5698,15
2008-12-10,0.018885669245874922,0.015587952448536445,2258,9
2008-12-11,0.002342486167097775,0.00235764437814649,4995,13
2008-12-12,0.01921747299182632,0.026980269557536407,3874,11
2008-12-13,0.01558272816932777,0.015189674378072497,1185,2
2008-12-14,0.017908237549189833,0.012190303701602886,1319,4
2008-12-15,0.002015712477818824,0.0025091758431987545,2307,8
2008-12-16,0.008620881992001289,0.013084683708798468,6785,25
2008-12-17,0.005254395568429438,0.003958484461415177,6787,19
2008-12-18,0.003412073483200839,0.0030806542649879066,4000,12
2008-12-19,0.026385353118439266,0.023515872030662615,3601,12
2008-12-20,0.002023078040721223,0.002023078040721223,387,1
2008-12-21,0.0016963760444681677,0.0022154021538608347,2450,6
2008-12-22,0.00859529004708747,0.021055835176758624,5199,13
2008-12-23,0.016928576819943503,0.021442358721323704,2171,6
2008-12-24,0.09697589448612688,0.09924040111433173,2696,9
2008-12-25,0.0021065240817876927,0.0024742071650118696,786,3
2008-12-26,0.0014928920818226864,0.0019255575004127148,509,2
2008-12-28,0.020606014819034957,0.029815785188938536,1021,4
2008-12-29,0.005786133433574267,0.006792807296709584,953,3
2008-12-30,0.003530738255933897,0.0031734045720666192,1293,4
2008-12-31,0.011772495975990439,0.011792013760904238,2031,5
2009-01-01,0.007435436432632985,0.007175631315775548,737,2
2009-01-02,0.00893073130635872,0.0074785921444668986,1849,5
2009-01-03,0.0024389443349335945,0.0024389443349335945,213,1
2009-01-04,0.015261774108932888,0.01261698711401348,726,2
2009-01-05,0.014277643200617883,0.0170052201102921,3563,13
2009-01-06,0.01603968330232328,0.014581894505673747,3389,11
2009-01-07,0.006725168100646911,0.00946027339272458,2661,8
2009-01-08,0.005171265291622449,0.0046365230338436805,4424,13
2009-01-09,0.018656456507637326,0.02055514591782612,4386,12
2009-01-11,0.0345536439350706,0.04064009933609411,2753,6
2009-01-12,0.0046869937299887435,0.005404196312950164,2587,7
2009-01-13,0.013309167741600916,0.014944369016810495,2761,8
2009-01-14,0.01596858343921276,0.010779524816067343,4481,12
2009-01-15,0.004504210612382167,0.004898578947494412,7054,20
2009-01-16,0.03033106020134779,0.027179670291354357,4169,12
2009-01-17,0.12405906999193039,0.12405906999193039,279,1
2009-01-18,0.005343510010408499,0.005778236189388047,515,2
2009-01-19,0.06569453444216962,0.06092252258438828,2954,9
2009-01-20,0.008196788808971116,0.012848695914581454,4352,14
2009-01-21,0.009874001142846443,0.009700364580883669,5645,13
2009-01-22,0.011036370531934509,0.02283915191492124,2931,9
